inventory_id,snapshot_date,product_id,store_id,stock_quantity,last_modified_timestamp
INV00000001,2025-01-05,P0170,S001,8,2025-01-05 23:00:00
INV00000002,2025-01-12,P0170,S001,6,2025-01-12 23:00:00
INV00000003,2025-01-19,P0170,S001,5,2025-01-19 23:00:00
INV00000004,2025-01-26,P0170,S001,5,2025-01-26 23:00:00
INV00000005,2025-02-02,P0170,S001,18,2025-02-02 23:00:00
INV00000006,2025-02-09,P0170,S001,15,2025-02-09 23:00:00
INV00000007,2025-02-16,P0170,S001,15,2025-02-16 23:00:00
INV00000008,2025-02-23,P0170,S001,13,2025-02-23 23:00:00
INV00000009,2025-03-02,P0170,S001,13,2025-03-02 23:00:00
INV00000010,2025-03-09,P0170,S001,13,2025-03-09 23:00:00
INV00000011,2025-03-16,P0170,S001,10,2025-03-16 23:00:00
INV00000012,2025-03-23,P0170,S001,10,2025-03-23 23:00:00
INV00000013,2025-03-30,P0170,S001,5,2025-03-30 23:00:00
INV00000014,2025-04-06,P0170,S001,4,2025-04-06 23:00:00
INV00000015,2025-04-13,P0170,S001,15,2025-04-13 23:00:00
INV00000016,2025-04-20,P0170,S001,13,2025-04-20 23:00:00
INV00000017,2025-04-27,P0170,S001,13,2025-04-27 23:00:00
INV00000018,2025-01-05,P0196,S001,12,2025-01-05 23:00:00
INV00000019,2025-01-12,P0196,S001,9,2025-01-12 23:00:00
INV00000020,2025-01-19,P0196,S001,7,2025-01-19 23:00:00
INV00000021,2025-01-26,P0196,S001,6,2025-01-26 23:00:00
INV00000022,2025-02-02,P0196,S001,23,2025-02-02 23:00:00
INV00000023,2025-02-09,P0196,S001,19,2025-02-09 23:00:00
INV00000024,2025-02-16,P0196,S001,17,2025-02-16 23:00:00
INV00000025,2025-02-23,P0196,S001,13,2025-02-23 23:00:00
INV00000026,2025-03-02,P0196,S001,7,2025-03-02 23:00:00
INV00000027,2025-03-09,P0196,S001,7,2025-03-09 23:00:00
INV00000028,2025-03-16,P0196,S001,19,2025-03-16 23:00:00
INV00000029,2025-03-23,P0196,S001,18,2025-03-23 23:00:00
INV00000030,2025-03-30,P0196,S001,11,2025-03-30 23:00:00
INV00000031,2025-04-06,P0196,S001,8,2025-04-06 23:00:00
INV00000032,2025-04-13,P0196,S001,24,2025-04-13 23:00:00
INV00000033,2025-04-20,P0196,S001,23,2025-04-20 23:00:00
INV00000034,2025-04-27,P0196,S001,23,2025-04-27 23:00:00
INV00000035,2025-01-05,P0169,S001,12,2025-01-05 23:00:00
INV00000036,2025-01-12,P0169,S001,12,2025-01-12 23:00:00
INV00000037,2025-01-19,P0169,S001,12,2025-01-19 23:00:00
INV00000038,2025-01-26,P0169,S001,8,2025-01-26 23:00:00
INV00000039,2025-02-02,P0169,S001,8,2025-02-02 23:00:00
INV00000040,2025-02-09,P0169,S001,6,2025-02-09 23:00:00
INV00000041,2025-02-16,P0169,S001,6,2025-02-16 23:00:00
INV00000042,2025-02-23,P0169,S001,6,2025-02-23 23:00:00
INV00000043,2025-03-02,P0169,S001,6,2025-03-02 23:00:00
INV00000044,2025-03-09,P0169,S001,17,2025-03-09 23:00:00
INV00000045,2025-03-16,P0169,S001,14,2025-03-16 23:00:00
INV00000046,2025-03-23,P0169,S001,12,2025-03-23 23:00:00
INV00000047,2025-03-30,P0169,S001,16,2025-03-30 23:00:00
INV00000048,2025-04-06,P0169,S001,15,2025-04-06 23:00:00
INV00000049,2025-04-13,P0169,S001,13,2025-04-13 23:00:00
INV00000050,2025-04-20,P0169,S001,11,2025-04-20 23:00:00
INV00000051,2025-04-27,P0169,S001,11,2025-04-27 23:00:00
INV00000052,2025-01-05,P0083,S001,11,2025-01-05 23:00:00
INV00000053,2025-01-12,P0083,S001,9,2025-01-12 23:00:00
INV00000054,2025-01-19,P0083,S001,8,2025-01-19 23:00:00
INV00000055,2025-01-26,P0083,S001,30,2025-01-26 23:00:00
INV00000056,2025-02-02,P0083,S001,30,2025-02-02 23:00:00
INV00000057,2025-02-09,P0083,S001,24,2025-02-09 23:00:00
INV00000058,2025-02-16,P0083,S001,20,2025-02-16 23:00:00
INV00000059,2025-02-23,P0083,S001,12,2025-02-23 23:00:00
INV00000060,2025-03-02,P0083,S001,7,2025-03-02 23:00:00
INV00000061,2025-03-09,P0083,S001,31,2025-03-09 23:00:00
INV00000062,2025-03-16,P0083,S001,28,2025-03-16 23:00:00
INV00000063,2025-03-23,P0083,S001,25,2025-03-23 23:00:00
INV00000064,2025-03-30,P0083,S001,22,2025-03-30 23:00:00
INV00000065,2025-04-06,P0083,S001,19,2025-04-06 23:00:00
INV00000066,2025-04-13,P0083,S001,13,2025-04-13 23:00:00
INV00000067,2025-04-20,P0083,S001,13,2025-04-20 23:00:00
INV00000068,2025-04-27,P0083,S001,7,2025-04-27 23:00:00
INV00000069,2025-01-05,P0077,S001,11,2025-01-05 23:00:00
INV00000070,2025-01-12,P0077,S001,10,2025-01-12 23:00:00
INV00000071,2025-01-19,P0077,S001,4,2025-01-19 23:00:00
INV00000072,2025-01-26,P0077,S001,16,2025-01-26 23:00:00
INV00000073,2025-02-02,P0077,S001,14,2025-02-02 23:00:00
INV00000074,2025-02-09,P0077,S001,6,2025-02-09 23:00:00
INV00000075,2025-02-16,P0077,S001,5,2025-02-16 23:00:00
INV00000076,2025-02-23,P0077,S001,5,2025-02-23 23:00:00
INV00000077,2025-03-02,P0077,S001,4,2025-03-02 23:00:00
INV00000078,2025-03-09,P0077,S001,4,2025-03-09 23:00:00
INV00000079,2025-03-16,P0077,S001,4,2025-03-16 23:00:00
INV00000080,2025-03-23,P0077,S001,15,2025-03-23 23:00:00
INV00000081,2025-03-30,P0077,S001,15,2025-03-30 23:00:00
INV00000082,2025-04-06,P0077,S001,12,2025-04-06 23:00:00
INV00000083,2025-04-13,P0077,S001,10,2025-04-13 23:00:00
INV00000084,2025-04-20,P0077,S001,10,2025-04-20 23:00:00
INV00000085,2025-04-27,P0077,S001,9,2025-04-27 23:00:00
INV00000086,2025-01-05,P0139,S001,24,2025-01-05 23:00:00
INV00000087,2025-01-12,P0139,S001,15,2025-01-12 23:00:00
