transaction_id,transaction_timestamp,product_id,store_id,quantity,unit_price,discount_amount,campaign_id,last_modified_timestamp
TXN00068420,2025-03-06 10:44:16,P0210,S015,2,11.89,1.36,,2025-03-06 10:44:16
TXN00079971,2025-03-16 16:15:01,P0189,S026,1,4.6,0.0,,2025-03-16 16:15:01
TXN00018511,2025-01-19 13:22:16,P0136,S015,2,27.95,0.0,,2025-01-19 13:22:16
TXN00104875,2025-04-07 18:14:49,P0171,S027,1,9.44,0.0,,2025-04-07 18:14:49
TXN00086631,2025-03-22 11:06:25,P0072,S024,2,11.71,0.0,,2025-04-14 11:06:25
TXN00118340,2025-04-19 16:41:35,P0172,S015,2,3.71,1.48,C018,2025-04-19 16:41:35
TXN00025549,2025-01-25 11:50:32,P0146,S001,1,1.85,0.04,,2025-01-25 11:50:32
TXN00083901,2025-03-20 20:33:27,P0015,S024,1,7.05,0.0,,2025-03-20 20:33:27
TXN00051005,2025-02-18 11:51:17,P0120,S026,2,9.71,0.0,,2025-02-18 11:51:17
TXN00091168,2025-03-27 20:22:44,P0172,S015,3,3.79,0.0,,2025-03-27 20:22:44
TXN00109333,2025-04-11 17:01:42,P0189,S017,1,4.81,0.0,,2025-04-11 17:01:42
TXN00046503,2025-02-14 18:24:34,P0197,S016,2,26.55,0.0,,2025-02-14 18:24:34
TXN00005485,2025-01-05 19:41:57,P0025,S011,2,1.43,0.18,,2025-01-05 19:41:57
TXN00013439,2025-01-13 11:12:11,P0212,S001,1,4.57,0.0,,2025-01-13 11:12:11
TXN00121522,2025-04-21 13:39:32,P0142,S005,2,3.77,0.0,,2025-04-21 13:39:32
TXN00124048,2025-04-24 18:26:41,P0172,S014,3,3.61,2.17,C018,2025-04-24 18:26:41
TXN00079370,2025-03-16 18:40:39,P0142,S006,1,3.85,0.0,,2025-03-16 18:40:39
TXN00118487,2025-04-19 10:48:20,P0201,S024,3,9.55,0.0,,2025-04-19 10:48:20
TXN00130445,2025-04-29 12:27:39,P0094,S001,1,3.14,0.0,,2025-04-29 12:27:39
TXN00024831,2025-01-25 16:45:47,P0125,S006,2,11.5,0.0,,2025-01-25 16:45:47
TXN00026358,2025-01-26 18:23:15,P0069,S003,4,10.44,0.0,,2025-01-26 18:23:15
TXN00060042,2025-02-27 12:13:56,P0068,S019,1,2.62,1.05,C036,2025-02-27 12:13:56
TXN00128793,2025-04-27 20:14:59,P0207,S018,1,13.18,0.0,,2025-04-27 20:14:59
