campaign_key,campaign_id,campaign_name,product_id,start_date,end_date,discount_percentage,campaign_cost,duration_days
1,C001,New Year Kickoff Feb,P0049,2025-02-07,2025-02-20,15.00,2940.95,14
2,C002,Republic Day Bonanza Mar,P0048,2025-03-22,2025-04-18,10.00,4058.44,28
3,C003,Winter Clearance Mar,P0165,2025-03-03,2025-03-30,10.00,1596.46,28
4,C004,Weekend Blitz Mar,P0015,2025-03-24,2025-04-20,10.00,2236.15,28
5,C005,Family Pack Deal Mar,P0009,2025-03-13,2025-03-26,10.00,911.04,14
6,C006,Buy More Save More Feb,P0107,2025-02-09,2025-02-15,25.00,1099.27,7
7,C007,Spring Refresh Jan,P0069,2025-01-29,2025-02-11,15.00,2467.46,14
8,C008,Payday Special Jan,P0059,2025-01-29,2025-02-11,15.00,1616.61,14
9,C009,Festive Combo Feb,P0205,2025-02-24,2025-03-05,25.00,1384.51,10
10,C010,Health Kick Mar,P0149,2025-03-08,2025-03-21,25.00,3004.60,14
11,C011,Summer Cooler Mar,P0161,2025-03-07,2025-03-13,15.00,1483.42,7
12,C012,Pantry Stock-Up Feb,P0129,2025-02-22,2025-03-14,10.00,1845.34,21
13,C013,Flash Friday Mar,P0071,2025-03-24,2025-04-13,20.00,2355.10,21
14,C014,Loyalty Boost Feb,P0166,2025-02-15,2025-02-24,15.00,1014.39,10
15,C015,Fresh Start Jan,P0011,2025-01-23,2025-02-05,40.00,2081.63,14
16,C016,Value Days Mar,P0054,2025-03-28,2025-04-10,10.00,1070.83,14
17,C017,New Year Kickoff Jan,P0163,2025-01-26,2025-02-15,30.00,3861.28,21
18,C018,Republic Day Bonanza Apr,P0172,2025-04-15,2025-04-28,20.00,3430.61,14
19,C019,Winter Clearance Feb,P0096,2025-02-16,2025-03-01,20.00,2025.65,14
20,C020,Weekend Blitz Mar,P0047,2025-03-15,2025-03-28,20.00,1792.70,14
21,C021,Family Pack Deal Apr,P0160,2025-04-08,2025-04-28,35.00,2190.14,21
22,C022,Buy More Save More Feb,P0189,2025-02-25,2025-03-06,20.00,2074.50,10
23,C023,Spring Refresh Mar,P0121,2025-03-27,2025-04-16,40.00,3042.29,21
24,C024,Payday Special Mar,P0207,2025-03-02,2025-03-15,40.00,3034.23,14
25,C025,Festive Combo Mar,P0125,2025-03-27,2025-04-02,15.00,937.94,7
26,C026,Health Kick Jan,P0051,2025-01-30,2025-02-08,40.00,2286.89,10
27,C027,Summer Cooler Feb,P0020,2025-02-15,2025-02-21,10.00,942.35,7
28,C028,Pantry Stock-Up Mar,P0084,2025-03-12,2025-04-08,15.00,2213.67,28
29,C029,Flash Friday Feb,P0087,2025-02-25,2025-03-03,30.00,3111.07,7
30,C030,Loyalty Boost Feb,P0008,2025-02-13,2025-02-22,20.00,2032.59,10
31,C031,Fresh Start Feb,P0201,2025-02-27,2025-03-08,10.00,787.10,10
32,C032,Value Days Mar,P0130,2025-03-31,2025-04-13,40.00,1759.76,14
33,C033,New Year Kickoff Apr,P0050,2025-04-08,2025-04-21,15.00,1583.08,14
34,C034,Republic Day Bonanza Apr,P0146,2025-04-06,2025-04-26,25.00,3859.01,21
35,C035,Winter Clearance Mar,P0085,2025-03-19,2025-03-28,25.00,1798.34,10
36,C036,Weekend Blitz Feb,P0068,2025-02-26,2025-03-07,40.00,4063.28,10
0,NONE,No Campaign,N/A,,,,,
-1,UNKNOWN,Unknown Campaign,N/A,,,,,
