date_key,date,year,quarter,month,month_name,year_month,year_month_label,day_of_month,day_of_week,day_name,week_of_year,is_weekend
20241201,2024-12-01,2024,4,12,December,202412,2024-12,1,1,Sunday,48,true
20241202,2024-12-02,2024,4,12,December,202412,2024-12,2,2,Monday,49,false
20241203,2024-12-03,2024,4,12,December,202412,2024-12,3,3,Tuesday,49,false
20241204,2024-12-04,2024,4,12,December,202412,2024-12,4,4,Wednesday,49,false
20241205,2024-12-05,2024,4,12,December,202412,2024-12,5,5,Thursday,49,false
20241206,2024-12-06,2024,4,12,December,202412,2024-12,6,6,Friday,49,false
20241207,2024-12-07,2024,4,12,December,202412,2024-12,7,7,Saturday,49,true
20241208,2024-12-08,2024,4,12,December,202412,2024-12,8,1,Sunday,49,true
20241209,2024-12-09,2024,4,12,December,202412,2024-12,9,2,Monday,50,false
20241210,2024-12-10,2024,4,12,December,202412,2024-12,10,3,Tuesday,50,false
20241211,2024-12-11,2024,4,12,December,202412,2024-12,11,4,Wednesday,50,false
20241212,2024-12-12,2024,4,12,December,202412,2024-12,12,5,Thursday,50,false
20241213,2024-12-13,2024,4,12,December,202412,2024-12,13,6,Friday,50,false
20241214,2024-12-14,2024,4,12,December,202412,2024-12,14,7,Saturday,50,true
20241215,2024-12-15,2024,4,12,December,202412,2024-12,15,1,Sunday,50,true
20241216,2024-12-16,2024,4,12,December,202412,2024-12,16,2,Monday,51,false
20241217,2024-12-17,2024,4,12,December,202412,2024-12,17,3,Tuesday,51,false
20241218,2024-12-18,2024,4,12,December,202412,2024-12,18,4,Wednesday,51,false
20241219,2024-12-19,2024,4,12,December,202412,2024-12,19,5,Thursday,51,false
20241220,2024-12-20,2024,4,12,December,202412,2024-12,20,6,Friday,51,false
20241221,2024-12-21,2024,4,12,December,202412,2024-12,21,7,Saturday,51,true
20241222,2024-12-22,2024,4,12,December,202412,2024-12,22,1,Sunday,51,true
20241223,2024-12-23,2024,4,12,December,202412,2024-12,23,2,Monday,52,false
20241224,2024-12-24,2024,4,12,December,202412,2024-12,24,3,Tuesday,52,false
20241225,2024-12-25,2024,4,12,December,202412,2024-12,25,4,Wednesday,52,false
20241226,2024-12-26,2024,4,12,December,202412,2024-12,26,5,Thursday,52,false
20241227,2024-12-27,2024,4,12,December,202412,2024-12,27,6,Friday,52,false
20241228,2024-12-28,2024,4,12,December,202412,2024-12,28,7,Saturday,52,true
20241229,2024-12-29,2024,4,12,December,202412,2024-12,29,1,Sunday,52,true
20241230,2024-12-30,2024,4,12,December,202412,2024-12,30,2,Monday,1,false
20241231,2024-12-31,2024,4,12,December,202412,2024-12,31,3,Tuesday,1,false
20250101,2025-01-01,2025,1,1,January,202501,2025-01,1,4,Wednesday,1,false
20250102,2025-01-02,2025,1,1,January,202501,2025-01,2,5,Thursday,1,false
20250103,2025-01-03,2025,1,1,January,202501,2025-01,3,6,Friday,1,false
20250104,2025-01-04,2025,1,1,January,202501,2025-01,4,7,Saturday,1,true
20250105,2025-01-05,2025,1,1,January,202501,2025-01,5,1,Sunday,1,true
20250106,2025-01-06,2025,1,1,January,202501,2025-01,6,2,Monday,2,false
20250107,2025-01-07,2025,1,1,January,202501,2025-01,7,3,Tuesday,2,false
20250108,2025-01-08,2025,1,1,January,202501,2025-01,8,4,Wednesday,2,false
20250109,2025-01-09,2025,1,1,January,202501,2025-01,9,5,Thursday,2,false
20250110,2025-01-10,2025,1,1,January,202501,2025-01,10,6,Friday,2,false
20250111,2025-01-11,2025,1,1,January,202501,2025-01,11,7,Saturday,2,true
20250112,2025-01-12,2025,1,1,January,202501,2025-01,12,1,Sunday,2,true
20250113,2025-01-13,2025,1,1,January,202501,2025-01,13,2,Monday,3,false
