product_key,product_id,product_name,category,sub_category,brand,unit_cost,list_price,gross_margin_pct
1,P0001,Pinecrest Bath 430,Personal Care,Bath,Pinecrest,6.94,11.73,0.4084
2,P0002,Greenfield Pasta & Rice 387,Packaged Food,Pasta & Rice,Greenfield,11.09,14.49,0.2346
3,P0003,Northwind Biscuits 634,Snacks,Biscuits,Northwind,7.86,11.81,0.3345
4,P0004,Aurora Juices 960,Beverages,Juices,Aurora,0.67,1.26,0.4683
5,P0005,Aurora Frozen Meals 715,Frozen,Frozen Meals,Aurora,12.50,17.04,0.2664
6,P0006,Vantage Water 159,Beverages,Water,Vantage,2.86,4.19,0.3174
7,P0007,Solera Bath 611,Personal Care,Bath,Solera,6.08,9.25,0.3427
8,P0008,Silverline Ice Cream 701,Frozen,Ice Cream,Silverline,2.94,4.42,0.3348
9,P0009,Greenfield Water 479,Beverages,Water,Greenfield,3.51,6.71,0.4769
10,P0010,Fairmont Coffee & Tea 423,Beverages,Coffee & Tea,Fairmont,6.76,9.07,0.2547
11,P0011,Marlow Sauces 722,Packaged Food,Sauces,Marlow,3.88,5.02,0.2271
12,P0012,Silverline Milk 763,Dairy,Milk,Silverline,9.78,13.81,0.2918
13,P0013,Marlow Canned 929,Packaged Food,Canned,Marlow,3.48,5.22,0.3333
14,P0014,Blue Harbour Pasta & Rice 200,Packaged Food,Pasta & Rice,Blue Harbour,5.08,6.97,0.2712
15,P0015,Kestrel Nuts 127,Snacks,Nuts,Kestrel,5.50,7.09,0.2243
16,P0016,Vantage Bath 319,Personal Care,Bath,Vantage,14.54,19.79,0.2653
17,P0017,Blue Harbour Skin Care 786,Personal Care,Skin Care,Blue Harbour,13.95,17.97,0.2237
18,P0018,Marlow Biscuits 463,Snacks,Biscuits,Marlow,3.76,5.12,0.2656
19,P0019,Pinecrest Soft Drinks 832,Beverages,Soft Drinks,Pinecrest,5.11,8.11,0.3699
20,P0020,Blue Harbour Coffee & Tea 251,Beverages,Coffee & Tea,Blue Harbour,4.56,7.97,0.4279
21,P0021,Kestrel Juices 112,Beverages,Juices,Kestrel,3.02,4.62,0.3463
22,P0022,Marlow Skin Care 196,Personal Care,Skin Care,Marlow,6.81,12.64,0.4612
23,P0023,Blue Harbour Soft Drinks 123,Beverages,Soft Drinks,Blue Harbour,1.30,2.24,0.4196
24,P0024,Blue Harbour Skin Care 282,Personal Care,Skin Care,Blue Harbour,5.18,7.31,0.2914
25,P0025,Silverline Nuts 132,Snacks,Nuts,Silverline,0.74,1.42,0.4789
26,P0026,Greenfield Frozen Veg 949,Frozen,Frozen Veg,Greenfield,11.50,17.32,0.3360
27,P0027,Northwind Frozen Meals 658,Frozen,Frozen Meals,Northwind,7.95,14.83,0.4639
28,P0028,Fairmont Oral Care 710,Personal Care,Oral Care,Fairmont,8.75,16.39,0.4661
29,P0029,Fairmont Milk 255,Dairy,Milk,Fairmont,2.85,3.89,0.2674
30,P0030,Marlow Frozen Meals 590,Frozen,Frozen Meals,Marlow,6.41,9.21,0.3040
31,P0031,Blue Harbour Frozen Veg 205,Frozen,Frozen Veg,Blue Harbour,6.87,10.69,0.3573
32,P0032,Blue Harbour Milk 116,Dairy,Milk,Blue Harbour,6.02,8.54,0.2951
33,P0033,Halcyon Chocolate 395,Snacks,Chocolate,Halcyon,2.23,3.62,0.3840
34,P0034,Marlow Chips 614,Snacks,Chips,Marlow,5.28,8.60,0.3860
35,P0035,Solera Pasta & Rice 486,Packaged Food,Pasta & Rice,Solera,5.56,10.30,0.4602
36,P0036,Pinecrest Water 309,Beverages,Water,Pinecrest,3.44,4.57,0.2473
37,P0037,Vantage Detergents 829,Home Care,Detergents,Vantage,12.16,17.63,0.3103
38,P0038,Fairmont Pasta & Rice 897,Packaged Food,Pasta & Rice,Fairmont,8.30,13.90,0.4029
39,P0039,Vantage Cleaners 542,Home Care,Cleaners,Vantage,2.08,2.78,0.2518
40,P0040,Silverline Juices 833,Beverages,Juices,Silverline,2.93,4.71,0.3779
41,P0041,Silverline Canned 734,Packaged Food,Canned,Silverline,4.15,6.60,0.3712
42,P0042,Halcyon Juices 131,Beverages,Juices,Halcyon,2.66,5.03,0.4712
43,P0043,Pinecrest Milk 891,Dairy,Milk,Pinecrest,6.81,10.83,0.3712
44,P0044,Greenfield Skin Care 298,Personal Care,Skin Care,Greenfield,2.31,3.15,0.2667
45,P0045,Vantage Nuts 360,Snacks,Nuts,Vantage,2.24,3.42,0.3450
46,P0046,Halcyon Yoghurt 883,Dairy,Yoghurt,Halcyon,5.57,9.46,0.4112
47,P0047,Pinecrest Butter 767,Dairy,Butter,Pinecrest,8.48,12.32,0.3117
48,P0048,Pinecrest Chocolate 421,Snacks,Chocolate,Pinecrest,1.98,3.44,0.4244
49,P0049,Pinecrest Milk 397,Dairy,Milk,Pinecrest,6.05,10.55,0.4265
50,P0050,Silverline Juices 210,Beverages,Juices,Silverline,0.86,1.24,0.3065
51,P0051,Vantage Canned 739,Packaged Food,Canned,Vantage,11.40,15.19,0.2495
52,P0052,Marlow Nuts 920,Snacks,Nuts,Marlow,4.17,5.95,0.2992
53,P0053,Aurora Juices 947,Beverages,Juices,Aurora,4.92,7.26,0.3223
54,P0054,Vantage Soft Drinks 588,Beverages,Soft Drinks,Vantage,4.47,6.75,0.3378
55,P0055,Solera Juices 619,Beverages,Juices,Solera,5.24,8.99,0.4171
56,P0056,Northwind Paper Goods 247,Home Care,Paper Goods,Northwind,7.13,12.86,0.4456
57,P0057,Northwind Oral Care 553,Personal Care,Oral Care,Northwind,6.96,11.95,0.4176
58,P0058,Northwind Soft Drinks 985,Beverages,Soft Drinks,Northwind,1.05,1.78,0.4101
59,P0059,Kestrel Air Care 142,Home Care,Air Care,Kestrel,12.74,18.52,0.3121
60,P0060,Northwind Coffee & Tea 707,Beverages,Coffee & Tea,Northwind,3.28,5.50,0.4036
61,P0061,Marlow Canned 168,Packaged Food,Canned,Marlow,5.55,8.55,0.3509
62,P0062,Aurora Chocolate 859,Snacks,Chocolate,Aurora,8.61,11.68,0.2628
63,P0063,Kestrel Biscuits 874,Snacks,Biscuits,Kestrel,5.43,8.34,0.3489
64,P0064,Aurora Skin Care 959,Personal Care,Skin Care,Aurora,14.63,20.14,0.2736
65,P0065,Greenfield Nuts 640,Snacks,Nuts,Greenfield,0.84,1.21,0.3058
66,P0066,Vantage Breakfast 972,Packaged Food,Breakfast,Vantage,3.28,6.07,0.4596
67,P0067,Solera Biscuits 595,Snacks,Biscuits,Solera,3.15,4.89,0.3558
68,P0068,Vantage Coffee & Tea 562,Beverages,Coffee & Tea,Vantage,1.35,2.56,0.4727
69,P0069,Kestrel Chocolate 809,Snacks,Chocolate,Kestrel,5.63,10.58,0.4679
70,P0070,Halcyon Soft Drinks 573,Beverages,Soft Drinks,Halcyon,1.11,1.49,0.2550
71,P0071,Pinecrest Oral Care 678,Personal Care,Oral Care,Pinecrest,16.13,26.13,0.3827
72,P0072,Solera Butter 352,Dairy,Butter,Solera,9.11,12.07,0.2452
73,P0073,Halcyon Nuts 117,Snacks,Nuts,Halcyon,4.52,6.86,0.3411
74,P0074,Halcyon Coffee & Tea 732,Beverages,Coffee & Tea,Halcyon,2.54,3.61,0.2964
75,P0075,Marlow Detergents 806,Home Care,Detergents,Marlow,5.37,7.95,0.3245
76,P0076,Northwind Yoghurt 174,Dairy,Yoghurt,Northwind,6.14,9.05,0.3215
77,P0077,Greenfield Juices 649,Beverages,Juices,Greenfield,6.20,8.81,0.2963
78,P0078,Pinecrest Nuts 914,Snacks,Nuts,Pinecrest,5.46,9.16,0.4039
79,P0079,Pinecrest Sauces 491,Packaged Food,Sauces,Pinecrest,3.86,5.36,0.2799
