campaign_key,campaign_id,campaign_name,product_key,product_id,product_name,category,brand,start_date,end_date,duration_days,discount_percentage,campaign_cost,campaign_revenue,campaign_units,campaign_gross_profit,baseline_window_days,baseline_daily_revenue,baseline_daily_units,expected_baseline_revenue,expected_baseline_units,incremental_revenue,incremental_units,incremental_gross_profit,roi,roi_margin_based,uplift_pct,is_profitable
12,C012,Pantry Stock-Up Feb,129,P0129,Northwind Juices 276,Beverages,Northwind,2025-02-22,2025-03-14,21,10.00,1845.34,4132.36,529,1106.48,28,85.1282,9.8214,1787.69,206.25,2344.67,322.75,498.54,0.2706,-0.7298,131.16,true
13,C013,Flash Friday Mar,71,P0071,Pinecrest Oral Care 678,Personal Care,Pinecrest,2025-03-24,2025-04-13,21,20.00,2355.10,19383.45,928,4414.81,28,301.3536,11.5714,6328.42,243.00,13055.03,685.00,2005.97,4.5433,-0.1482,206.29,true
14,C014,Loyalty Boost Feb,166,P0166,Halcyon Cleaners 170,Home Care,Halcyon,2025-02-15,2025-02-24,10,15.00,1014.39,1682.28,205,554.78,28,56.4321,5.8929,564.32,58.93,1117.96,146.07,314.57,0.1021,-0.6899,198.11,true
18,C018,Republic Day Bonanza Apr,172,P0172,Aurora Juices 547,Beverages,Aurora,2025-04-15,2025-04-28,14,20.00,3430.61,6217.65,2098,364.23,28,143.7150,39.0357,2012.01,546.50,4205.64,1551.50,-123.05,0.2259,-1.0359,209.03,true
6,C006,Buy More Save More Feb,107,P0107,Solera Air Care 391,Home Care,Solera,2025-02-09,2025-02-15,7,25.00,1099.27,240.66,109,37.92,28,13.6111,4.6429,95.28,32.50,145.38,76.50,3.09,-0.8677,-0.9972,152.58,false
9,C009,Festive Combo Feb,205,P0205,Solera Frozen Veg 844,Frozen,Solera,2025-02-24,2025-03-05,10,25.00,1384.51,2892.31,245,209.56,28,116.4207,7.3929,1164.21,73.93,1728.10,171.07,-145.13,0.2482,-1.1048,148.44,true
16,C016,Value Days Mar,54,P0054,Vantage Soft Drinks 588,Beverages,Vantage,2025-03-28,2025-04-10,14,10.00,1070.83,2958.03,486,785.61,28,75.2375,11.1786,1053.33,156.50,1904.70,329.50,431.84,0.7787,-0.5967,180.83,true
17,C017,New Year Kickoff Jan,163,P0163,Fairmont Milk 735,Dairy,Fairmont,2025-01-26,2025-02-15,21,30.00,3861.28,5205.42,1283,560.96,28,79.4071,13.7500,1667.55,288.75,3537.87,994.25,-61.32,-0.0838,-1.0159,212.16,false
23,C023,Spring Refresh Mar,121,P0121,Fairmont Cheese 156,Dairy,Fairmont,2025-03-27,2025-04-16,21,40.00,3042.29,2307.84,931,-596.88,28,24.1254,5.8571,506.63,123.00,1801.21,808.00,-719.75,-0.4079,-1.2366,355.53,false
5,C005,Family Pack Deal Mar,9,P0009,Greenfield Water 479,Beverages,Greenfield,2025-03-13,2025-03-26,14,10.00,911.04,999.25,166,416.59,28,31.5021,4.7143,441.03,66.00,558.22,100.00,207.22,-0.3873,-0.7725,126.57,false
10,C010,Health Kick Mar,149,P0149,Solera Paper Goods 443,Home Care,Solera,2025-03-08,2025-03-21,14,25.00,3004.60,1714.89,649,27.49,28,46.1032,13.1429,645.45,184.00,1069.44,465.00,-139.56,-0.6441,-1.0464,165.69,false
31,C031,Fresh Start Feb,201,P0201,Pinecrest Hair Care 394,Personal Care,Pinecrest,2025-02-27,2025-03-08,10,10.00,787.10,1615.76,183,523.25,28,74.5282,7.6429,745.28,76.43,870.48,106.57,234.25,0.1059,-0.7024,116.80,true
1,C001,New Year Kickoff Feb,49,P0049,Pinecrest Milk 397,Dairy,Pinecrest,2025-02-07,2025-02-20,14,15.00,2940.95,6556.36,730,2139.86,28,149.8118,14.2500,2097.37,199.50,4458.99,530.50,1249.47,0.5162,-0.5751,212.60,true
3,C003,Winter Clearance Mar,165,P0165,Silverline Skin Care 300,Personal Care,Silverline,2025-03-03,2025-03-30,28,10.00,1596.46,2071.49,428,312.41,28,27.1500,5.0714,760.20,142.00,1311.29,286.00,135.83,-0.1786,-0.9149,172.49,false
7,C007,Spring Refresh Jan,69,P0069,Kestrel Chocolate 809,Snacks,Kestrel,2025-01-29,2025-02-11,14,15.00,2467.46,5583.64,622,2081.78,28,171.8643,16.3214,2406.10,228.50,3177.54,393.50,962.13,0.2878,-0.6101,132.06,true
11,C011,Summer Cooler Mar,161,P0161,Silverline Soft Drinks 298,Beverages,Silverline,2025-03-07,2025-03-13,7,15.00,1483.42,3364.03,1348,1153.31,28,173.7979,59.3214,1216.59,415.25,2147.44,932.75,617.73,0.4476,-0.5836,176.51,true
26,C026,Health Kick Jan,51,P0051,Vantage Canned 739,Packaged Food,Vantage,2025-01-30,2025-02-08,10,40.00,2286.89,2768.13,304,-697.47,28,63.7721,4.2143,637.72,42.14,2130.41,261.86,-854.76,-0.0684,-1.3738,334.07,false
27,C027,Summer Cooler Feb,20,P0020,Blue Harbour Coffee & Tea 251,Beverages,Blue Harbour,2025-02-15,2025-02-21,7,10.00,942.35,1270.19,177,463.07,28,70.9314,9.0000,496.52,63.00,773.67,114.00,253.83,-0.1790,-0.7306,155.82,false
33,C033,New Year Kickoff Apr,50,P0050,Silverline Juices 210,Beverages,Silverline,2025-04-08,2025-04-21,14,15.00,1583.08,492.78,467,91.16,28,15.7589,12.7857,220.63,179.00,272.15,288.00,24.47,-0.8281,-0.9845,123.35,false
34,C034,Republic Day Bonanza Apr,146,P0146,Vantage Biscuits 364,Snacks,Vantage,2025-04-06,2025-04-26,21,25.00,3859.01,9089.21,6553,-216.05,28,160.6264,87.1786,3373.15,1830.75,5716.06,4722.25,-989.54,0.4812,-1.2564,169.46,true
25,C025,Festive Combo Mar,125,P0125,Vantage Chocolate 647,Snacks,Vantage,2025-03-27,2025-04-02,7,15.00,937.94,1439.24,146,119.40,28,82.7054,7.1429,578.94,50.00,860.30,96.00,-7.54,-0.0828,-1.0080,148.60,false
15,C015,Fresh Start Jan,11,P0011,Marlow Sauces 722,Packaged Food,Marlow,2025-01-23,2025-02-05,14,40.00,2081.63,2443.48,813,-710.96,28,43.2714,8.6429,605.80,121.00,1837.68,692.00,-847.28,-0.1172,-1.4070,303.35,false
